analysis_id	is_genus	is_binom	num_tax	num_tax2
36743	1	7	8	8
36744	2	10	12	12
36745	1	3	4	4
36746	1	4	5	5
36747	9	8	17	17
36748	12	15	27	27
36749	4	5	9	9
36750	10	11	21	21
36751	12	16	28	28
36752	14	17	31	31
36753	2	20	22	22
36754	9	8	17	17
36755	3	5	8	8
36756	7	12	19	19
36757	1	5	6	6
36758	4	9	13	13
36759	1	9	10	10
36760	0	7	7	7
36761	1	6	7	7
36762	2	5	7	7
36763	9	21	30	30
36764	6	22	28	28
36765	2	18	20	20
36766	3	18	21	21
36767	5	16	21	21
36768	4	16	20	20
36769	7	22	29	29
36770	7	21	28	28
36771	5	15	20	20
36772	2	13	15	15
36773	7	6	13	13
36774	10	10	20	20
36775	9	7	16	16
36776	8	13	21	21
36777	5	7	12	12
36778	8	9	17	17
36779	6	13	19	19
36780	6	6	12	12
36781	7	6	13	13
36782	6	10	16	16
36783	8	13	21	21
36784	11	10	21	21
36785	13	8	21	21
36786	10	13	23	23
36787	4	8	12	12
36788	9	13	22	22
36789	11	14	25	25
36790	7	10	17	17
36791	5	4	9	9
36792	6	5	11	11
36793	13	10	23	23
36794	17	10	27	27
36795	7	9	16	16
36796	8	8	16	16
36797	10	4	14	14
36798	6	6	12	12
36799	11	6	17	17
36800	5	5	10	10
36801	6	7	13	13
36802	5	6	11	11
36803	12	9	21	21
36804	9	7	16	16
36805	5	3	8	8
36806	7	5	12	12
36807	7	8	15	15
36808	11	9	20	20
36809	12	8	20	20
36810	6	6	12	12
36811	12	9	21	21
36812	10	6	16	16
36813	9	8	17	17
36814	9	9	18	18
36815	12	10	22	22
36816	5	6	11	11
36817	12	9	21	21
36818	12	9	21	21
36819	4	5	9	9
36820	5	6	11	11
36821	16	10	26	26
36822	14	10	24	24
36823	6	4	10	10
36824	2	4	6	6
36825	9	8	17	17
36826	8	8	16	16
36827	14	20	34	34
36828	6	13	19	19
36829	8	17	25	25
36830	5	5	10	10
36831	8	16	24	24
36832	10	13	23	23
36833	7	18	25	25
36834	1	8	9	9
36835	2	7	9	9
36836	2	5	7	7
36837	1	7	8	8
36838	2	7	9	9
36839	0	6	6	6
36840	2	5	7	7
36841	4	10	14	14
36842	5	7	12	12
36843	6	1	7	7
36844	7	13	20	20
36845	4	9	13	13
36846	0	1	1	1
36847	5	7	12	12
36848	2	7	9	9
36849	1	7	8	8
36850	1	6	7	7
36851	0	4	4	4
36852	0	5	5	5
36853	1	5	6	6
36854	0	3	3	3
36855	2	6	8	8
36856	1	7	8	8
36857	1	3	4	4
36858	1	4	5	5
36859	3	7	10	10
36860	4	6	10	10
36861	0	6	6	6
36862	8	7	15	15
36863	5	6	11	11
36864	12	9	21	21
36865	15	12	27	27
36866	9	7	16	16
36867	12	8	20	20
