"plot_name"	"MAT_wc"	"MAT_pred"	"MinT_wc"	"MinT_pred"	"MaxT_wc"	"MaxT_pred"	"MAP_wc"	"MAP_pred"	"wbalann_wc"	"wbalann_pred"	"winterlen_wc"	"winterlen_pred"	"NA"	"NA"
"31"	"CCYN7"	103	116.509526135808	-97	-84.1118710307768	327	318.260869565217	234	261.481680508061	-443.204431397881	-434.821980001456	5	3.94235466536395	65	76.2608695652174
"32"	"COWBOY1"	103	115.069858329263	-97	-84.1118710307767	327	318.647777234978	234	255.458231558379	-443.204431397881	-498.106291580914	5	3.03957010258915	65	73.723986321446
"33"	"COWBOY2"	103	117.435026868588	-97	-81.8915486077186	327	315.165608207132	234	262.686370297998	-443.204431397881	-388.112130978524	5	3.04250122129946	65	75.4152418172936
"34"	"COWBOY3"	103	113.938690766976	-97	-82.6316560820713	327	312.650708353689	234	262.686370297998	-443.204431397881	-407.700132181689	5	3.95994137762579	65	76.2608695652174
"35"	"COWH1"	103	115.481191988275	-97	-84.1118710307768	327	315.359062042013	234	257.867611138252	-443.204431397881	-413.72720947497	5	3.9628724963361	65	74.9924279433317
"36"	"COWH2"	103	117.023693209575	-97	-84.4079140205179	327	316.423058133855	234	263.891060087934	-443.204431397881	-409.20690150501	5	3.95407914020518	65	77.1064973131412
"37"	"COWH3A"	103	116.201025891549	-97	-83.371763556424	327	315.165608207133	234	257.867611138252	-443.204431397881	-412.22044015165	5	3.91890571568148	65	74.9924279433317
"38"	"FCOW1"	103	117.640693698095	-97	-82.6316560820713	327	320.679042501221	234	261.481680508061	-443.204431397881	-469.477674437826	5	3.91597459697118	65	74.9924279433317
"39"	"JWC1"	103	116.920859794821	-97	-81.8915486077186	327	318.357596482658	234	259.072300928188	-443.204431397881	-410.71367082833	5	3.057156814851	65	74.5696140693698
"40"	"SF1B"	103	116.098192476796	-97	-84.1118710307767	327	320.485588666341	234	250.639472398633	-443.204431397881	-416.740748121612	5	3.93356130923303	65	71.6099169516365
"41"	"SF2"	103	114.452857840742	-97	-85.8881289692233	327	291.274059599414	234	262.686370297998	-443.204431397881	-403.179824211728	5	3.97459697117734	65	74.9924279433317
"42"	"SF6"	103	115.481191988275	-97	-82.3356130923302	327	315.068881289692	234	248.230092818759	-443.204431397881	-394.139208271804	5	3.92183683439179	65	71.1871030776746
"43"	"WSFC1"	103	116.612359550562	-97	-83.0757205666829	327	321.065950170982	234	251.844162188569	-443.204431397881	-431.808441354815	5	3.92183683439179	65	70.3414753297508
"44"	"BS2"	126	122.719101123595	-70	-77.2918905715681	345	325.80556912555	161	222.931607230093	-602.880134451088	-481.531829024389	3	3.9247679531021	47	35.6707376648754
"45"	"BS3"	126	123.926722032242	-70	-76.4169516365413	345	328.417195896433	161	226.545676599902	-602.880134451088	-487.558906317671	3	2.23351245725452	47	38.2076209086468
"46"	"HALL4"	126	122.920371275037	-70	-74.8128969223254	345	329.191011235955	161	220.52222765022	-602.880134451088	-502.626599550875	3	3.03957010258916	47	41.590131900342
"47"	"HD2"	67	107.492916463117	-118	-90.2642892037128	274	288.66243282853	274	262.686370297998	-268.942923729694	-370.030899098678	5	3.99804592085979	89	77.1064973131411
"48"	"HD3"	67	114.263800683928	-118	-83.2061553492917	274	324.257938446507	274	249.434782608696	-268.942923729694	-413.72720947497	5	3.95701025891548	89	70.3414753297508
"49"	"HD6"	67	116.212994626282	-118	-86.2940889106009	274	304.525647288715	274	266.300439667806	-268.942923729694	-368.524129775358	5	3.96580361504641	89	75.4152418172936
"50"	"HD7b"	67	108.313629702003	-118	-87.6174890083048	274	300.269662921349	274	262.686370297998	-268.942923729694	-374.55120706864	5	4.00097703957011	89	76.6836834391793
"51"	"BW1"	120	136.084513922814	-44	-9.62628236443573	321	324.310698583292	254	237.387884709331	-449.024806546908	-481.531829024389	3	2.03419638495359	63	38.2899364924279
"52"	"BWREC"	120	142.655349291647	-44	-9.62628236443573	321	345.039570102589	254	202.451880801173	-449.024806546908	-528.241678047322	3	2.02833414753298	63	40.2525647288715
"53"	"HF1"	107	47.1880801172448	-50	-83.989741084514	304	249.625793844651	304	524.104054714216	-351.837771893377	-8.40626150177795	4	5.97361993160723	75	77.9350268685882
"54"	"HF3A"	107	82.5373717635565	-50	-79.8529555446996	304	279.194919394236	304	344.605276013678	-351.837771893377	-267.57058511289	4	4.9799706888129	75	76.3649242794334
"55"	"HF3B"	107	82.5373717635564	-50	-73.7191011235956	304	286.510991695164	304	296.417684416218	-351.837771893377	-287.158586316055	4	3.5114802149487	75	74.0097703957011
"56"	"HF3C(1)"	107	77.0503175378603	-50	-73.7191011235956	304	267.814362481681	304	347.014655593551	-351.837771893377	-147.029039247256	4	5.9589643380557	75	77.5425012212994
"57"	"HF3C(2)"	107	75.8895945285784	-50	-79.9956033219346	304	250.540302882267	304	574.701025891549	-351.837771893377	-71.6905730812352	4	5.9267220322423	75	49.280654616512
"58"	"HF3C(3)"	107	74.4123106985833	-50	-80.2808988764045	304	250.641914997557	304	567.47288715193	-351.837771893377	151.311286770186	4	5.93844650708354	75	54.3834880312653
"59"	"ATLATL4A"	98	114.184660478749	-103	-78.2721055202736	317	287.695163654128	235	347.982413287738	-407.935040521134	-340.881196440146	5	3.9628724963361	83	75.8380556912555
"60"	"CHIQ1A"	95	121.922813873962	-108	-79.7835857352223	316	320.582315583781	237	252.171470444553	-398.579486104762	-439.496919229155	5	3.02784562774792	84	55.5429897410845
"61"	"CHIQ1B"	95	122.309721543723	-108	-81.2344894968246	316	320.09868099658	237	268.778700537371	-398.579486104762	-420.362525255168	5	3.01025891548607	84	71.6099169516365
"62"	"CHIQ4"	95	121.826086956521	-108	-79.638495359062	316	320.679042501221	237	249.616511968734	-398.579486104762	-493.95634823204	5	3.91890571568149	84	62.3080117244749
"63"	"CHIQ5"	95	125.695163654128	-108	-74.1250610649732	316	322.807034684905	237	250.893991206644	-398.579486104762	-499.84385407019	5	2.97215437225208	84	63.9992672203225
"64"	"GALLO1"	95	122.696629213484	-108	-76.0112359550562	316	324.548119198828	237	245.784074255008	-398.579486104762	-492.484471772503	5	2.55007327796776	84	59.7711284807035
"65"	"GALLO3"	95	121.342452369321	-108	-78.4777723497801	316	321.549584758183	237	241.951636541279	-398.579486104762	-465.990695500828	5	3.94235466536395	84	49.6235955056179
"66"	"GALLO5"	95	122.503175378603	-108	-81.0893991206644	316	320.195407914021	237	250.893991206644	-398.579486104762	-410.059390038406	5	3.91304347826087	84	58.5026868588178
"67"	"GALLO6"	95	120.85881778212	-108	-80.6541279921836	316	321.162677088422	237	254.726428920372	-398.579486104762	-435.081289850542	5	3.93649242794333	84	64.4220810942844
"68"	"MOCK1"	95	123.470444553004	-108	-80.0737664875427	316	319.61504640938	237	257.28138739619	-398.579486104762	-455.687560284067	5	3.95407914020518	84	49.6235955056179
"69"	"MOCK2"	95	128.693698094773	-108	-76.7366878358574	316	317.487054225696	237	280.276013678554	-398.579486104762	-361.48746687367	5	2.98680996580361	84	56.8114313629702
"70"	"MOCK4"	95	125.308255984367	-108	-79.638495359062	316	320.3888617489	237	259.836345872008	-398.579486104762	-460.103189662679	5	3.93649242794334	84	55.9658036150465
"71"	"MOCK5"	95	123.857352222765	-108	-82.5403028822667	316	316.519785051295	237	256.003908158281	-398.579486104762	-418.890648795631	5	2.06350757205666	84	58.9255007327796
"72"	"SCC1A"	98	111.573033707865	-103	-85.9748412310699	317	304.428920371275	235	296.883243771373	-407.935040521134	-345.296825818759	5	3.95114802149487	83	77.1064973131412
"73"	"SCC2A"	98	113.604298974109	-103	-85.8295065950171	317	302.397655105032	235	340.317537860283	-407.935040521134	-348.240578737834	5	3.93356130923302	83	80.4890083048363
"74"	"SCC2B"	98	117.473375671715	-103	-83.2134831460674	317	296.787493893503	235	308.380556912555	-407.935040521134	-346.768702278296	5	2.13971665852467	83	80.9118221787982
