"ka"	"avg.dif"	"stdev"	"sites.used"
50	-0.86913531998047	2.49791435324187	5
49.9	-1.16395538185964	2.27990530192717	6
49.8	-1.16395538185964	2.27990530192717	6
49.7	-1.49462628236444	2.18587738392368	7
49.6	-1.49462628236444	2.18587738392368	7
49.5	-1.49462628236444	2.18587738392368	7
49.4	-1.49462628236444	2.18587738392368	7
49.3	-1.49462628236444	2.18587738392368	7
49.2	-1.49462628236444	2.18587738392368	7
49.1	-1.70526380068393	2.06891268667579	8
49	-1.70526380068393	2.06891268667579	8
48.9	-1.70526380068393	2.06891268667579	8
48.8	-1.70526380068393	2.06891268667579	8
48.7	-1.70526380068393	2.06891268667579	8
48.6	-1.70526380068393	2.06891268667579	8
48.5	-1.70526380068393	2.06891268667579	8
48.4	-1.70526380068393	2.06891268667579	8
48.3	-1.70526380068393	2.06891268667579	8
48.2	-1.70526380068393	2.06891268667579	8
48.1	-1.70526380068393	2.06891268667579	8
48	-1.70526380068393	2.06891268667579	8
47.9	-1.70526380068393	2.06891268667579	8
47.8	-1.70526380068393	2.06891268667579	8
47.7	-1.99089259543583	2.08852570460274	7
47.6	-1.99089259543583	2.08852570460274	7
47.5	-1.99089259543583	2.08852570460274	7
47.4	-1.99089259543583	2.08852570460274	7
47.3	-2.42654290832112	2.12545852538446	6
47.2	-2.42654290832112	2.12545852538446	6
47.1	-2.42654290832112	2.12545852538446	6
47	-2.42654290832112	2.12545852538446	6
46.9	-2.42654290832112	2.12545852538446	6
46.8	-2.42654290832112	2.12545852538446	6
46.7	-2.42654290832112	2.12545852538446	6
46.6	-2.42654290832112	2.12545852538446	6
46.5	-2.42654290832112	2.12545852538446	6
46.4	-2.42654290832112	2.12545852538446	6
46.3	-2.42654290832112	2.12545852538446	6
46.2	-2.42654290832112	2.12545852538446	6
46.1	-2.42654290832112	2.12545852538446	6
46	-2.42654290832112	2.12545852538446	6
45.9	-2.31166864400865	1.98008921928481	7
45.8	-2.31166864400865	1.98008921928481	7
45.7	-2.31166864400865	1.98008921928481	7
45.6	-2.31166864400865	1.98008921928481	7
45.5	-2.45016792867611	1.86069112555612	8
45.4	-2.45016792867611	1.86069112555612	8
45.3	-2.35742244748412	1.74052398119826	8
45.2	-2.35742244748412	1.74052398119826	8
45.1	-2.35742244748412	1.74052398119826	8
45	-2.35742244748412	1.74052398119826	8
44.9	-2.75970758601438	1.59903560344973	7
44.8	-2.75970758601438	1.59903560344973	7
44.7	-2.75970758601438	1.59903560344973	7
44.6	-2.75970758601438	1.59903560344973	7
44.5	-2.70581033219346	1.50208068007667	8
44.4	-2.70581033219346	1.50208068007667	8
44.3	-2.70581033219346	1.50208068007667	8
44.2	-2.70581033219346	1.50208068007667	8
44.1	-2.59540442459349	1.60641538714517	7
44	-2.59540442459349	1.60641538714517	7
43.9	-2.59540442459349	1.60641538714517	7
43.8	-2.59540442459349	1.60641538714517	7
43.7	-2.59540442459349	1.60641538714517	7
43.6	-2.59540442459349	1.60641538714517	7
43.5	-2.59540442459349	1.60641538714517	7
43.4	-2.59540442459349	1.60641538714517	7
43.3	-2.59540442459349	1.60641538714517	7
43.2	-2.59540442459349	1.60641538714517	7
43.1	-2.59540442459349	1.60641538714517	7
43	-2.59540442459349	1.60641538714517	7
42.9	-2.49801742387234	1.75389851847828	6
42.8	-2.49801742387234	1.75389851847828	6
42.7	-2.49801742387234	1.75389851847828	6
42.6	-2.49801742387234	1.75389851847828	6
42.5	-2.49801742387234	1.75389851847828	6
42.4	-3.33928309721545	1.9134208976615	4
42.3	-3.52681973619932	1.70930822367197	5
42.2	-3.52681973619932	1.70930822367197	5
42.1	-3.52681973619932	1.70930822367197	5
42	-3.52681973619932	1.70930822367197	5
41.9	-3.52681973619932	1.70930822367197	5
41.8	-3.55360893991206	1.97252673706757	4
41.7	-3.55360893991206	1.97252673706757	4
41.6	-3.55360893991206	1.97252673706757	4
41.5	-3.55360893991206	1.97252673706757	4
41.4	-3.55360893991206	1.97252673706757	4
41.3	-3.55360893991206	1.97252673706757	4
41.2	-3.55360893991206	1.97252673706757	4
41.1	-3.55360893991206	1.97252673706757	4
41	-3.55360893991206	1.97252673706757	4
40.9	-3.55360893991206	1.97252673706757	4
40.8	-3.96196873473375	2.19903302851703	3
40.7	-3.15766365412799	2.41069647427712	4
40.6	-2.42279351897085	2.16998418945758	6
40.5	-2.42279351897085	2.16998418945758	6
40.4	-2.42279351897085	2.16998418945758	6
40.3	-2.42279351897085	2.16998418945758	6
40.2	-2.43197710935864	1.98110475285161	7
40.1	-2.43197710935864	1.98110475285161	7
40	-2.43197710935864	1.98110475285161	7
39.9	-2.43197710935864	1.98110475285161	7
39.8	-2.43197710935864	1.98110475285161	7
39.7	-2.88121030776746	2.20793833738648	8
39.6	-3.05071378168593	2.11910432264066	9
39.5	-3.22925012212994	2.18198830613956	8
39.4	-3.22925012212994	2.18198830613956	8
39.3	-3.22925012212994	2.18198830613956	8
39.2	-3.22925012212994	2.18198830613956	8
39.1	-3.22925012212994	2.18198830613956	8
39	-3.22925012212994	2.18198830613956	8
38.9	-3.22925012212994	2.18198830613956	8
38.8	-3.22925012212994	2.18198830613956	8
38.7	-3.22925012212994	2.18198830613956	8
38.6	-3.22925012212994	2.18198830613956	8
38.5	-3.22925012212994	2.18198830613956	8
38.4	-3.22925012212994	2.18198830613956	8
38.3	-3.74917300579245	1.98210416133129	7
38.2	-3.74917300579245	1.98210416133129	7
38.1	-3.74917300579245	1.98210416133129	7
38	-3.74917300579245	1.98210416133129	7
37.9	-3.74917300579245	1.98210416133129	7
37.8	-3.74917300579245	1.98210416133129	7
37.7	-3.76514716658525	1.83562800354269	8
37.6	-3.4813195462194	1.91660166941626	9
37.5	-3.4813195462194	1.91660166941626	9
37.4	-3.4813195462194	1.91660166941626	9
37.3	-3.4813195462194	1.91660166941626	9
37.2	-3.4813195462194	1.91660166941626	9
37.1	-3.4813195462194	1.91660166941626	9
37	-3.4813195462194	1.91660166941626	9
36.9	-3.4813195462194	1.91660166941626	9
36.8	-3.4813195462194	1.91660166941626	9
36.7	-3.4813195462194	1.91660166941626	9
36.6	-3.08152662432829	2.03572127115364	10
36.5	-3.3411686478858	1.95837291218088	9
36.4	-3.3411686478858	1.95837291218088	9
36.3	-3.3411686478858	1.95837291218088	9
36.2	-3.3411686478858	1.95837291218088	9
36.1	-3.3411686478858	1.95837291218088	9
36	-3.3411686478858	1.95837291218088	9
35.9	-2.78472043345028	1.86203029737586	11
35.8	-2.78472043345028	1.86203029737586	11
35.7	-2.78472043345028	1.86203029737586	11
35.6	-2.78472043345028	1.86203029737586	11
35.5	-2.78472043345028	1.86203029737586	11
35.4	-2.78472043345028	1.86203029737586	11
35.3	-2.78472043345028	1.86203029737586	11
35.2	-2.78472043345028	1.86203029737586	11
35.1	-2.78472043345028	1.86203029737586	11
35	-2.78472043345028	1.86203029737586	11
34.9	-2.78472043345028	1.86203029737586	11
34.8	-3.11485344406448	1.72825698365578	10
34.7	-3.11485344406448	1.72825698365578	10
34.6	-3.11485344406448	1.72825698365578	10
34.5	-3.11485344406448	1.72825698365578	10
34.4	-3.11485344406448	1.72825698365578	10
34.3	-3.11485344406448	1.72825698365578	10
34.2	-3.11485344406448	1.72825698365578	10
34.1	-3.11485344406448	1.72825698365578	10
34	-3.11485344406448	1.72825698365578	10
33.9	-3.11485344406448	1.72825698365578	10
33.8	-3.11485344406448	1.72825698365578	10
33.7	-2.80406581693831	1.89328560516989	11
33.6	-2.80406581693831	1.89328560516989	11
