"ka"	"avg.dif"	"stdev"	"sites.used"
45	-0.759492550073277	1.09028281968933	8
44.9	-1.00390466885337	1.14092128706745	7
44.8	-1.00390466885337	1.14092128706745	7
44.7	-1.00390466885337	1.14092128706745	7
44.6	-1.00390466885337	1.14092128706745	7
44.5	-1.07143685881778	1.05802239264537	8
44.4	-1.07143685881778	1.05802239264537	8
44.3	-1.07143685881778	1.05802239264537	8
44.2	-1.07143685881778	1.05802239264537	8
44.1	-0.800610649731314	0.998608456960058	7
44	-0.800610649731314	0.998608456960058	7
43.9	-0.800610649731314	0.998608456960058	7
43.8	-0.800610649731314	0.998608456960058	7
43.7	-0.800610649731314	0.998608456960058	7
43.6	-0.800610649731314	0.998608456960058	7
43.5	-0.800610649731314	0.998608456960058	7
43.4	-0.800610649731314	0.998608456960058	7
43.3	-0.800610649731314	0.998608456960058	7
43.2	-0.800610649731314	0.998608456960058	7
43.1	-0.800610649731314	0.998608456960058	7
43	-0.800610649731314	0.998608456960058	7
42.9	-0.648351245725452	1.08955973855617	6
42.8	-0.648351245725452	1.08955973855617	6
42.7	-0.648351245725452	1.08955973855617	6
42.6	-0.648351245725452	1.08955973855617	6
42.5	-0.648351245725452	1.08955973855617	6
42.4	-0.494003419638496	1.05309285676393	4
42.3	-0.433473375671715	1.14325647888696	5
42.2	-0.433473375671715	1.14325647888696	5
42.1	-0.433473375671715	1.14325647888696	5
42	-0.433473375671715	1.14325647888696	5
41.9	-0.433473375671715	1.14325647888696	5
41.8	0.18557645334636	0.907624605493048	4
41.7	0.18557645334636	0.907624605493048	4
41.6	0.18557645334636	0.907624605493048	4
41.5	0.18557645334636	0.907624605493048	4
41.4	0.18557645334636	0.907624605493048	4
41.3	0.18557645334636	0.907624605493048	4
41.2	0.18557645334636	0.907624605493048	4
41.1	0.18557645334636	0.907624605493048	4
41	0.18557645334636	0.907624605493048	4
40.9	0.18557645334636	0.907624605493048	4
40.8	0.76215600065136	1.03685366670841	3
40.7	0.287677088422081	0.855478601341945	4
40.6	1.27047304999186	2.05029446360456	6
40.5	1.27047304999186	2.05029446360456	6
40.4	1.27047304999186	2.05029446360456	6
40.3	1.27047304999186	2.05029446360456	6
40.2	0.973093028124784	1.90242745630807	7
40.1	0.973093028124784	1.90242745630807	7
40	0.973093028124784	1.90242745630807	7
39.9	0.973093028124784	1.90242745630807	7
39.8	0.973093028124784	1.90242745630807	7
39.7	1.11031082071324	1.76969462220497	8
39.6	0.614802149487056	1.75017431074329	9
39.5	0.642061553492919	1.78005064095872	8
39.4	0.642061553492919	1.78005064095872	8
39.3	0.642061553492919	1.78005064095872	8
39.2	0.642061553492919	1.78005064095872	8
39.1	0.642061553492919	1.78005064095872	8
39	0.642061553492919	1.78005064095872	8
38.9	0.642061553492919	1.78005064095872	8
38.8	0.642061553492919	1.78005064095872	8
38.7	0.642061553492919	1.78005064095872	8
38.6	0.642061553492919	1.78005064095872	8
38.5	0.642061553492919	1.78005064095872	8
38.4	0.642061553492919	1.78005064095872	8
38.3	0.619404703747646	1.84831827234254	7
38.2	0.619404703747646	1.84831827234254	7
38.1	0.619404703747646	1.84831827234254	7
38	0.619404703747646	1.84831827234254	7
37.9	0.619404703747646	1.84831827234254	7
37.8	0.619404703747646	1.84831827234254	7
37.7	0.516270762090866	1.84907807643294	8
37.6	0.388614775009501	1.7836741063833	9
37.5	0.388614775009501	1.7836741063833	9
37.4	0.388614775009501	1.7836741063833	9
37.3	0.388614775009501	1.7836741063833	9
37.2	0.388614775009501	1.7836741063833	9
37.1	0.388614775009501	1.7836741063833	9
37	0.388614775009501	1.7836741063833	9
36.9	0.388614775009501	1.7836741063833	9
36.8	0.388614775009501	1.7836741063833	9
36.7	0.388614775009501	1.7836741063833	9
36.6	0.295530043966782	1.72765075649418	10
36.5	0.45456223199262	1.8216365338959	9
36.4	0.45456223199262	1.8216365338959	9
36.3	0.45456223199262	1.8216365338959	9
36.2	0.45456223199262	1.8216365338959	9
36.1	0.45456223199262	1.8216365338959	9
36	0.45456223199262	1.8216365338959	9
35.9	0.139214815472755	1.85273842399162	11
35.8	0.139214815472755	1.85273842399162	11
35.7	0.139214815472755	1.85273842399162	11
35.6	0.139214815472755	1.85273842399162	11
35.5	0.139214815472755	1.85273842399162	11
35.4	0.139214815472755	1.85273842399162	11
35.3	0.139214815472755	1.85273842399162	11
35.2	0.139214815472755	1.85273842399162	11
35.1	0.139214815472755	1.85273842399162	11
35	0.139214815472755	1.85273842399162	11
34.9	0.139214815472755	1.85273842399162	11
34.8	0.207359550561799	1.88241734469644	10
34.7	0.207359550561799	1.88241734469644	10
34.6	0.207359550561799	1.88241734469644	10
34.5	0.207359550561799	1.88241734469644	10
34.4	0.207359550561799	1.88241734469644	10
34.3	0.207359550561799	1.88241734469644	10
34.2	0.207359550561799	1.88241734469644	10
34.1	0.207359550561799	1.88241734469644	10
34	0.207359550561799	1.88241734469644	10
33.9	0.207359550561799	1.88241734469644	10
33.8	0.207359550561799	1.88241734469644	10
33.7	0.278736066083405	1.82128739329886	11
33.6	0.278736066083405	1.82128739329886	11
33.5	0.278736066083405	1.82128739329886	11
33.4	0.534796857189384	1.73428780210371	12
33.3	0.534796857189384	1.73428780210371	12
33.2	1.00770750988142	1.59905527212588	11
33.1	1.00770750988142	1.59905527212588	11
33	1.00770750988142	1.59905527212588	11
32.9	1.00770750988142	1.59905527212588	11
32.8	0.896411415078978	1.58306046256895	12
32.7	1.28238220011547	1.56621500058276	11
32.6	1.28238220011547	1.56621500058276	11
32.5	1.28238220011547	1.56621500058276	11
32.4	1.28238220011547	1.56621500058276	11
32.3	1.28238220011547	1.56621500058276	11
32.2	1.28238220011547	1.56621500058276	11
32.1	1.31137029799707	1.64023859899726	10
32	1.2229088639201	1.72871333939129	9
31.9	1.2229088639201	1.72871333939129	9
31.8	1.4167531753786	1.78471352007645	8
31.7	1.4167531753786	1.78471352007645	8
31.6	1.4167531753786	1.78471352007645	8
31.5	1.4167531753786	1.78471352007645	8
31.4	1.4167531753786	1.78471352007645	8
31.3	1.4167531753786	1.78471352007645	8
31.2	1.4167531753786	1.78471352007645	8
31.1	1.4167531753786	1.78471352007645	8
31	1.4167531753786	1.78471352007645	8
30.9	0.793099658036152	1.8122904648495	10
30.8	0.793099658036152	1.8122904648495	10
30.7	0.169707332237866	2.13499161320822	11
30.6	-0.285082382200114	2.15124387494777	11
30.5	-0.520674157303369	2.26184590286406	10
30.4	-1.33585735222276	2.09481066059501	8
30.3	-1.02950116701949	1.99170246677804	9
30.2	-0.841460674157302	1.93844979466487	10
30.1	-0.841460674157302	1.93844979466487	10
30	-0.841460674157302	1.93844979466487	10
29.9	-0.63535328862637	1.85451027724539	11
29.8	-1.03883528741247	2.01250357791399	12
29.7	-1.03883528741247	2.01250357791399	12
29.6	-1.03883528741247	2.01250357791399	12
29.5	-1.03883528741247	2.01250357791399	12
29.4	-1.03883528741247	2.01250357791399	12
29.3	-1.03883528741247	2.01250357791399	12
29.2	-1.03883528741247	2.01250357791399	12
29.1	-1.03883528741247	2.01250357791399	12
29	-1.03883528741247	2.01250357791399	12
28.9	-1.03883528741247	2.01250357791399	12
28.8	-1.07334748788095	1.94430505772749	13
28.7	-1.07334748788095	1.94430505772749	13
28.6	-1.24046775769419	1.98118169036652	12
28.5	-1.24046775769419	1.98118169036652	12
28.4	-1.1196540391704	1.6990509166978	11
28.3	-1.1196540391704	1.6990509166978	11
28.2	-1.1683561309233	1.70836382288157	10
28.1	-1.52940617706128	1.8097276014079	9
28	-1.46704934049829	1.76638422399655	10
27.9	-1.72828529555447	1.67895788925416	12
27.8	-1.38748057023582	1.42489052633878	11
27.7	-1.30054958475818	1.44602656954269	12
27.6	-1.10231483221224	1.39581093884961	13
27.5	-1.40064259140957	1.42514347716705	13
27.4	-1.63580850024426	1.47005808925974	12
27.3	-1.44344444026906	1.45736129851005	13
27.2	-1.43977365249959	1.509036438388	12
27.1	-1.38367216564578	1.5008891801078	13
27	-1.59449019471003	1.56461461612879	14
26.9	-1.59449019471003	1.56461461612879	14
26.8	-1.40402089361542	1.53184442471626	13
26.7	-1.12961557250761	1.40956183548153	13
26.6	-1.12961557250761	1.40956183548153	13
26.5	-1.12961557250761	1.40956183548153	13
26.4	-1.29024879614767	1.41771149764173	14
