"ka"	"avg.dif"	"stdev"	"sites.used"
50	-2.58445041524182	1.28281343320161	5
49.9	-2.24335205992509	1.46902236196764	6
49.8	-2.24335205992509	1.46902236196764	6
49.7	-2.37337916114174	1.3701275586958	7
49.6	-2.37337916114174	1.3701275586958	7
49.5	-2.37337916114174	1.3701275586958	7
49.4	-2.37337916114174	1.3701275586958	7
49.3	-2.37337916114174	1.3701275586958	7
49.2	-2.37337916114174	1.3701275586958	7
49.1	-2.16348009281876	1.42274508658302	8
49	-2.16348009281876	1.42274508658302	8
48.9	-2.16348009281876	1.42274508658302	8
48.8	-2.16348009281876	1.42274508658302	8
48.7	-2.16348009281876	1.42274508658302	8
48.6	-2.16348009281876	1.42274508658302	8
48.5	-2.16348009281876	1.42274508658302	8
48.4	-2.16348009281876	1.42274508658302	8
48.3	-2.16348009281876	1.42274508658302	8
48.2	-2.16348009281876	1.42274508658302	8
48.1	-2.16348009281876	1.42274508658302	8
48	-2.16348009281876	1.42274508658302	8
47.9	-2.16348009281876	1.42274508658302	8
47.8	-2.16348009281876	1.42274508658302	8
47.7	-1.99774931956173	1.46887563759214	7
47.6	-1.99774931956173	1.46887563759214	7
47.5	-1.99774931956173	1.46887563759214	7
47.4	-1.99774931956173	1.46887563759214	7
47.3	-2.41423220973783	1.40060874681649	6
47.2	-2.41423220973783	1.40060874681649	6
47.1	-2.41423220973783	1.40060874681649	6
47	-2.41423220973783	1.40060874681649	6
46.9	-2.41423220973783	1.40060874681649	6
46.8	-2.41423220973783	1.40060874681649	6
46.7	-2.41423220973783	1.40060874681649	6
46.6	-2.41423220973783	1.40060874681649	6
46.5	-2.41423220973783	1.40060874681649	6
46.4	-2.41423220973783	1.40060874681649	6
46.3	-2.41423220973783	1.40060874681649	6
46.2	-2.41423220973783	1.40060874681649	6
46.1	-2.41423220973783	1.40060874681649	6
46	-2.41423220973783	1.40060874681649	6
45.9	-2.03591318305535	1.52112207586138	7
45.8	-2.03591318305535	1.52112207586138	7
45.7	-2.03591318305535	1.52112207586138	7
45.6	-2.03591318305535	1.52112207586138	7
45.5	-2.16947361993161	1.45212760947436	8
45.4	-2.16947361993161	1.45212760947436	8
45.3	-2.16332743038593	1.44744188664126	8
45.2	-2.16332743038593	1.44744188664126	8
45.1	-2.16332743038593	1.44744188664126	8
45	-2.16332743038593	1.44744188664126	8
44.9	-1.99757484820992	1.48763293858186	7
44.8	-1.99757484820992	1.48763293858186	7
44.7	-1.99757484820992	1.48763293858186	7
44.6	-1.99757484820992	1.48763293858186	7
44.5	-1.7992336345872	1.49622702438667	8
44.4	-1.7992336345872	1.49622702438667	8
44.3	-1.7992336345872	1.49622702438667	8
44.2	-1.7992336345872	1.49622702438667	8
44.1	-1.60576104403657	1.51392839220842	7
44	-1.60576104403657	1.51392839220842	7
43.9	-1.60576104403657	1.51392839220842	7
43.8	-1.60576104403657	1.51392839220842	7
43.7	-1.60576104403657	1.51392839220842	7
43.6	-1.60576104403657	1.51392839220842	7
43.5	-1.60576104403657	1.51392839220842	7
43.4	-1.60576104403657	1.51392839220842	7
43.3	-1.60576104403657	1.51392839220842	7
43.2	-1.60576104403657	1.51392839220842	7
43.1	-1.60576104403657	1.51392839220842	7
43	-1.60576104403657	1.51392839220842	7
42.9	-1.75769011561635	1.58965350675738	6
42.8	-1.75769011561635	1.58965350675738	6
42.7	-1.75769011561635	1.58965350675738	6
42.6	-1.75769011561635	1.58965350675738	6
42.5	-1.75769011561635	1.58965350675738	6
42.4	-1.71021006350758	1.74897906422219	4
42.3	-1.95065461651197	1.59051479188311	5
42.2	-1.95065461651197	1.59051479188311	5
42.1	-1.95065461651197	1.59051479188311	5
42	-1.95065461651197	1.59051479188311	5
41.9	-1.95065461651197	1.59051479188311	5
41.8	-1.6622191011236	1.70431547942791	4
41.7	-1.6622191011236	1.70431547942791	4
41.6	-1.6622191011236	1.70431547942791	4
41.5	-1.6622191011236	1.70431547942791	4
