"ka"	"avg.dif"	"stdev"	"sites.used"
50	-116.517073359014	38.5459717669664	5
49.9	-65.6014760349568	34.4806789300629	6
49.8	-65.6014760349568	34.4806789300629	6
49.7	-35.4672701019605	35.7286209610486	7
49.6	-35.4672701019605	35.7286209610486	7
49.5	-35.4672701019605	35.7286209610486	7
49.4	-35.4672701019605	35.7286209610486	7
49.3	-35.4672701019605	35.7286209610486	7
49.2	-35.4672701019605	35.7286209610486	7
49.1	-19.6542982680277	46.5498912953291	8
49	-19.6542982680277	46.5498912953291	8
48.9	-19.6542982680277	46.5498912953291	8
48.8	-19.6542982680277	46.5498912953291	8
48.7	-19.6542982680277	46.5498912953291	8
48.6	-19.6542982680277	46.5498912953291	8
48.5	-19.6542982680277	46.5498912953291	8
48.4	-19.6542982680277	46.5498912953291	8
48.3	-19.6542982680277	46.5498912953291	8
48.2	-19.6542982680277	46.5498912953291	8
48.1	-19.6542982680277	46.5498912953291	8
48	-19.6542982680277	46.5498912953291	8
47.9	-19.6542982680277	46.5498912953291	8
47.8	-19.6542982680277	46.5498912953291	8
47.7	4.55394840076638	49.7280646145979	7
47.6	4.55394840076638	49.7280646145979	7
47.5	4.55394840076638	49.7280646145979	7
47.4	4.55394840076638	49.7280646145979	7
47.3	46.6256112274071	39.2442380652788	6
47.2	46.6256112274071	39.2442380652788	6
47.1	46.6256112274071	39.2442380652788	6
47	46.6256112274071	39.2442380652788	6
46.9	46.6256112274071	39.2442380652788	6
46.8	46.6256112274071	39.2442380652788	6
46.7	46.6256112274071	39.2442380652788	6
46.6	46.6256112274071	39.2442380652788	6
46.5	46.6256112274071	39.2442380652788	6
46.4	46.6256112274071	39.2442380652788	6
46.3	46.6256112274071	39.2442380652788	6
46.2	46.6256112274071	39.2442380652788	6
46.1	46.6256112274071	39.2442380652788	6
46	46.6256112274071	39.2442380652788	6
45.9	45.0056724244412	58.196550093221	7
45.8	45.0056724244412	58.196550093221	7
45.7	45.0056724244412	58.196550093221	7
45.6	45.0056724244412	58.196550093221	7
45.5	59.8073630433689	54.550531421388	8
45.4	59.8073630433689	54.550531421388	8
45.3	110.934466586852	70.621345442563	8
45.2	110.934466586852	70.621345442563	8
45.1	110.934466586852	70.621345442563	8
45	110.934466586852	70.621345442563	8
44.9	154.013503852532	74.9879625327844	7
44.8	154.013503852532	74.9879625327844	7
44.7	154.013503852532	74.9879625327844	7
44.6	154.013503852532	74.9879625327844	7
44.5	146.141378942153	72.9084619650535	8
44.4	146.141378942153	72.9084619650535	8
44.3	146.141378942153	72.9084619650535	8
44.2	146.141378942153	72.9084619650535	8
