36455	109	-1	144	-110	35
36456	109	-2	165	-111	56
36457	109	42	160	-67	51
36458	109	-2	144	-111	35
36459	109	-2	10	-111	-99
36460	109	105	170	-4	61
36461	218	178	182	-40	-36
36463	216	171	187	-45	-29
36465	216	177	195	-39	-21
36466	216	177	187	-39	-29
36467	216	172	196	-44	-20
36468	212	177	197	-35	-15
36469	212	177	207	-35	-5
36470	212	177	184	-35	-28
36471	212	177	183	-35	-29
36472	212	151	183	-61	-29
36473	212	177	183	-35	-29
36474	212	177	183	-35	-29
36475	212	177	183	-35	-29
36476	212	181	184	-31	-28
36477	212	200	204	-12	-8
36478	208	161	183	-47	-25
36479	208	179	194	-29	-14
36480	208	179	183	-29	-25
36481	208	179	183	-29	-25
36482	208	179	183	-29	-25
36483	208	201	201	-7	-7
36484	202	164	191	-38	-11
36485	202	160	198	-42	-4
36486	202	163	191	-39	-11
36487	211	186	191	-25	-20
36488	222	71	166	-151	-56
36493	-7	147	183	154	190
36494	-7	147	174	154	181
36496	-7	-12	193	-5	200
36498	230	198	208	-32	-22
36499	185	116	182	-69	-3
36501	138	-31	-15	-169	-153
36502	138	76	157	-62	19
36503	148	109	170	-39	22
36504	148	109	170	-39	22
36505	148	109	159	-39	11
36506	148	109	164	-39	16
36507	148	48	159	-100	11
36508	148	109	159	-39	11
36509	148	109	159	-39	11
36510	148	109	164	-39	16
36511	148	109	164	-39	16
36512	148	109	164	-39	16
36513	148	109	159	-39	11
36514	148	109	159	-39	11
36515	148	109	170	-39	22
36516	148	109	170	-39	22
36517	148	-20	164	-168	16
36518	148	109	159	-39	11
36519	148	109	170	-39	22
36520	148	109	170	-39	22
36521	172	106	183	-66	11
36522	172	129	181	-43	9
36523	172	129	181	-43	9
36524	172	106	181	-66	9
36525	172	46	181	-126	9
36526	172	106	156	-66	-16
36527	-36	-39	129	-3	165
36528	-36	-37	129	-1	165
36529	-36	-3	146	33	182
36530	-36	106	129	142	165
36531	-36	106	129	142	165
36532	-36	106	169	142	205
36533	-36	-16	169	20	205
36534	172	46	181	-126	9
36536	149	163	180	14	31
36537	149	163	182	14	33
36538	134	129	144	-5	10
36539	134	120	144	-14	10
36540	134	120	147	-14	13
36541	134	129	144	-5	10
36542	134	131	136	-3	2
36543	134	131	147	-3	13
36544	140	116	121	-24	-19
36545	137	112	170	-25	33
36546	137	105	153	-32	16
36547	137	105	170	-32	33
36548	137	105	170	-32	33
36549	137	130	170	-7	33
36550	137	10	164	-127	27
36551	137	105	170	-32	33
36552	137	105	158	-32	21
36553	137	112	153	-25	16
36554	137	10	170	-127	33
36555	137	10	170	-127	33
36556	137	106	170	-31	33
36557	137	106	170	-31	33
36558	137	10	170	-127	33
36559	137	105	170	-32	33
36560	140	12	153	-128	13
36561	140	105	153	-35	13
36562	140	105	153	-35	13
36563	140	105	169	-35	29
36564	137	45	170	-92	33
36566	167	46	105	-121	-62
36567	167	104	147	-63	-20
36568	167	46	141	-121	-26
36569	167	120	141	-47	-26
36570	167	-5	4	-172	-163
36571	167	109	141	-58	-26
36572	161	147	179	-14	18
36573	161	113	179	-48	18
36574	218	198	235	-20	17
36575	218	195	231	-23	13
36576	218	147	235	-71	17
36577	-21	45	183	66	204
36578	-9	-44	140	-35	149
36580	-17	-49	185	-32	202
36581	166	112	187	-54	21
36582	168	163	180	-5	12
36583	168	163	192	-5	24
36584	168	163	192	-5	24
36585	168	163	192	-5	24
36586	166	112	192	-54	26
36587	166	112	192	-54	26
36588	168	163	187	-5	19
36589	168	154	192	-14	24
36590	168	163	187	-5	19
36591	168	163	188	-5	20
36592	168	133	187	-35	19
36593	168	163	187	-5	19
36594	168	164	186	-4	18
36595	185	158	188	-27	3
36596	185	163	187	-22	2
36597	185	163	182	-22	-3
36598	185	158	187	-27	2
36599	185	156	187	-29	2
36600	185	163	192	-22	7
36601	185	156	188	-29	3
36602	185	108	194	-77	9
36607	115	11	118	-104	3
36608	115	11	165	-104	50
36609	115	11	165	-104	50
36610	115	11	153	-104	38
36611	115	18	165	-97	50
36612	213	177	183	-36	-30
36613	213	214	234	1	21
36614	213	214	214	1	1
36615	213	188	204	-25	-9
36616	213	206	217	-7	4
36618	213	214	217	1	4
36619	213	214	217	1	4
36620	213	214	217	1	4
36621	213	214	225	1	12
36622	213	214	235	1	22
36623	166	-15	159	-181	-7
36624	166	-15	159	-181	-7
36625	166	-35	159	-201	-7
36626	166	-15	159	-181	-7
36627	166	-15	159	-181	-7
36628	166	-35	159	-201	-7
36629	135	147	182	12	47
36630	135	147	181	12	46
36631	90	107	181	17	91
36632	90	159	173	69	83
36633	90	127	131	37	41
36634	192	165	181	-27	-11
36635	192	197	198	5	6
36636	90	67	145	-23	55
